id,name,lat,lng,yelpstars,lastrating,rats,roaches,slime,fail,cuisine,weight
912823,"LOG CABIN INN",29.858,-95.4489,5,1,1,1,1,1,,999
912825,"ROBINDELL CHILD DEVELOPMENT",29.707,-95.4828,5,1,1,1,1,1,,999
912837,"GOODMAN ELEMENTARY",29.8973,-95.4237,5,1,1,1,1,1,,999
912859,"LANKFORD'S GROCERY",29.75,-95.3839,5,1,1,1,1,1,"BURGERS, ETC.",999
912873,"HIGH SCHOOL FOR LAW ENFORCEMNT",29.7647,-95.4076,5,1,1,1,1,1,,999
912874,"WESLEY ELEMENTARY SCHOOL",29.8614,-95.419,5,1,1,1,1,1,,999
912875,"SAM'S GROCERY",29.7232,-95.3192,5,1,1,1,1,1,,999
912876,"HENDERSON ELEMENTARY, J.P.",29.7227,-95.3194,5,1,1,1,1,1,,999
912879,"RALSTON DRUG #11",29.7052,-95.3728,5,1,1,1,1,1,,999
912888,"HOAGIE BURGER",29.6798,-95.3127,5,1,1,1,1,1,"BURGERS, ETC.",999
912895,"ST PIUS HIGH",29.8431,-95.4138,5,1,1,1,1,1,,999
912896,"GLORIA'S DAY CARE",29.6786,-95.3412,5,1,1,1,1,1,,999
912897,"THE CHILDREN'S HOUR",29.7051,-95.4116,5,1,1,1,1,1,,999
912900,"STAR OF HOPE WOMEN & FAMILY",29.7536,-95.349,5,1,1,1,1,1,,999
912919,"MS. BESSIE'S CAFE",29.7299,-95.3686,5,1,1,1,1,1,"BEVERAGES, ETC.",999
912930,"WESTBURY LITTLE LEAGUE",29.6468,-95.4733,5,1,1,1,1,1,"BURGERS, ETC.",999
912938,"AUSTIN HIGH SCHOOL",29.732,-95.3317,5,1,1,1,1,1,,999
912939,"ELROD ELEMENTARY SCHOOL",29.6713,-95.5018,5,1,1,1,1,1,,999
912948,"THE HIDEAWAY",29.7304,-95.5141,5,1,1,1,1,1,,999
912965,"EAGLE PASS FOOD MKT",29.7835,-95.2943,5,1,1,1,1,1,,999
912977,"JEFFY'S EXXON SHOP",29.7787,-95.2845,5,1,1,1,1,1,,999
912979,"MCCARTY SHELL",29.7787,-95.2836,5,1,1,1,1,1,,999
912995,"DENNY'S #1373",29.7723,-95.2259,5,1,1,1,1,1,"LOCAL / CONTINENTAL",999
913000,"PAPPAS MEAT CO.",29.7705,-95.2245,5,1,1,1,1,1,SEAFOOD,999
913004,"FIESTA MART #10",29.7719,-95.2216,5,1,1,1,1,1,OTHER,999
