id,name,date,lat,lng,cuisine,status,score,site,weight,rats,bugs,slime,condemned
421749,"CHYMISTRY BAR AND LOUNGE","2014-02-24 00:00:00",29.6134,-95.4062,"BAR & GRILL",PASS,1,"TOTAL ESTABLISHMENT",1,0,0,0,0
421751,"YIIN'S ORIENTAL WOK","2014-01-13 00:00:00",29.6956,-95.3381,CHINESE,PASS,3,"TOTAL ESTABLISHMENT",11,0,0,0,0
421758,"ECCLESIA CHURCH COFFEE BAR","2013-07-11 00:00:00",29.7687,-95.3672,"LOCAL / CONTINENTAL",PASS,1,ESTABLISHMENT,1,0,0,0,0
421760,"FRESH MARKET AT LANTERN LANE SHOPPING CENTER","2013-07-15 00:00:00",29.7667,-95.5513,,PASS,1,ESTABLISHMENT,1,0,0,0,0
421761,"SILVERSTONE EVENTS","2014-01-16 00:00:00",29.7495,-95.3963,,PASS,2,0,7,0,0,0,0
421767,"KATMANIA - TEX STAR","2014-03-22 00:00:00",29.7434,-95.4637,,PASS,2,"5601 WEST LOOP S",7,0,0,0,0
421769,"LW BAR AND GRILL","2013-12-06 00:00:00",29.7688,-95.409,"BAR & GRILL",PASS,1,"Total establishment",2,0,0,0,0
421771,"STALLA'S MANHATTAN GRILL","2013-10-18 00:00:00",29.8026,-95.4543,DELI,PASS,1,ESTABLISHMENT,1,0,0,0,0
421775,"BANGKOK CHEF","2013-10-30 00:00:00",29.7352,-95.5864,,PASS,1,ESTABLISHMENT,2,0,0,0,0
421780,"HOLLYWOOD FOOD AND CIGAR #2","2014-04-07 00:00:00",29.7472,-95.3913,,PASS,1,0,5,0,0,0,0
421781,"CLUB EL AGUILA","2013-12-18 00:00:00",29.8261,-95.3843,,PASS,1,0,1,0,0,0,0
421792,"POPEYE'S LOUISIANA KITCHEN","2014-01-07 00:00:00",29.7894,-95.6883,CHICKEN,PASS,1,KITCHEN,4,0,0,0,0
421795,"AL-AMEEN HALAL MEAT","2014-02-12 00:00:00",29.685,-95.3913,,FAIL,3,0,12,0,0,0,0
421796,"COLTIVARE PIZZA & GARDEN","2014-01-08 00:00:00",29.7817,-95.3938,"LOCAL / CONTINENTAL",PASS,1,0,1,0,0,0,0
421803,"FAT CAT CREAMERY","2013-10-24 00:00:00",29.803,-95.4106,DESSERTS,PASS,1,ESTABLISHMENT,2,0,0,0,0
421806,"THE FRESH MARKET","2014-02-04 00:00:00",29.7512,-95.4623,,FAIL,3,"Total Establishment",10,0,0,0,0
